/spells/1-hellish_rebuke/,Адское возмездие [Hellish rebuke],1 уровень,воплощение,"1 реакция, совершаемая вами когда вы получаете урон от существа, находящегося в пределах 60 футов от вас и видимого вами",60 футов,"В, С",Мгновенная,колдун,клятвопреступник (паладин),«Player's handbook»,"Вы указываете пальцем, и существо, причинившее вам урон, мгновенно окружается пламенем. Существо должно совершить спасбросок Ловкости. Оно получает урон огнём 2к10 при провале, или половину этого урона при успехе.На больших уровнях. Если вы накладываете это заклинание, используя ячейку 2-го уровня или выше, урон увеличивается на 1к10 за каждый уровень ячейки выше первого."
/spells/2-antipathy_sympathy/,Антипатия/симпатия [Antipathy/sympathy],8 уровень,очарование,1 час,60 футов,"В, С, М  (пропитанный уксусом кусок квасцов для эффекта антипатии или капля мёда для эффекта симпатии)",10 дней,"бард (Tasha's Cauldron of Everything), волшебник, друид",,«Player's handbook»,"Это заклинание привлекает или отталкивает выбранных вами существ. Вы выбираете цель в пределах дистанции: либо предмет размером не больше Огромного, либо существо, либо область не больше куба с длиной ребра 200 футов. Затем укажите вид разумных существ, такой как красные драконы, гоблины или вампиры. Вы наделяете цель аурой, которая в течение длительности либо привлекает, либо отталкивает указанных существ. Выберите либо эффект антипатии, либо эффект симпатии:Антипатия. Эти чары вызывают у выбранных вами существ непреодолимое желание покинуть область и избегать цель. Если такое существо видит цель и оказывается в пределах 60 футов от неё, оно должно преуспеть в спасброске Мудрости, иначе станетиспуганным. Существо остаётсяиспуганным, пока видит цель или находится в пределах 60 футов от неё. Будучи испуганным целью, существо должно тратить своё перемещение на побег в ближайшее безопасное место, откуда оно уже не увидит цель. Если существо отдалится от цели более чем на 60 футов и не сможет её видеть, оно перестаёт бытьиспуганным, но становитсяиспуганнымвновь, если увидит цель или окажется в пределах 60 футов от неё.Симпатия. Эти чары вызывают у выбранных вами существ непреодолимое желание приблизиться к цели, если они находятся в пределах 60 футов от неё или видят её. Если такое существо видит цель или оказывается в пределах 60 футов от неё, оно должно преуспеть в спасброске Мудрости, иначе оно в каждом своём ходу тратит перемещение на то, чтобы войти в область или прикоснуться к цели. Сделав это, оно уже не может добровольно отойти от цели.Если цель причиняет урон или как-то иначе вредит указанному существу, существо может совершить спасбросок Мудрости для окончания эффекта, как описано ниже.Окончание эффекта. Если указанное существо окончит ход за пределами 60 футов от цели или не сможет её видеть, оно совершает спасбросок Мудрости. В случае успеха эффект на существе заканчивается, и оно понимает, что тяга или отвращение были вызваны магией. Кроме того, попавшему под эффект заклинания существу позволяется спасбросок Мудрости каждые 24 часа, пока заклинание активно.Совершившее успешный спасбросок существо получает иммунитет к эффекту на 1 минуту, после чего снова попадает под его действие."
/spells/3-aura_of_vitality/,Аура живучести [Aura of vitality],3 уровень,воплощение,1 действие,На себя (30-футовый радиус),В,"Концентрация, вплоть до 1 минуты","друид (Tasha's Cauldron of Everything), жрец (Tasha's Cauldron of Everything), паладин","боевой кузнец (изобретатель), домен сумерек (жрец), клятва короны (паладин)",«Player's handbook»,"От вас исходит аура живительной энергии с радиусом 30 футов. Пока заклинание активно, аура перемещается вместе с вами, оставаясь с центром на вас. Вы можете бонусным действием восстанавливать одному любому существу в ауре (включая себя) 2к6 хитов."
/spells/4-aura_of_life/,Аура жизни [Aura of life],4 уровень,ограждение,1 действие,На себя (30-футов радиус),В,"Концентрация, вплоть до 10 минут","жрец (Tasha's Cauldron of Everything), паладин","бессмертный (колдун), круг дикого огня (друид)",«Player's handbook»,"От вас исходит защищающая жизнь аура с радиусом 30 футов. Пока заклинание активно, аура перемещается вместе с вами, оставаясь с центром на вас. Все невраждебные существа в ауре (включая вас) обладают сопротивлением урону некротической энергией, и максимум их хитов не может уменьшаться. Кроме того, невраждебные живые существа восстанавливают 1 хит, когда начинают ход в этой ауре с 0 хитов."
/spells/5-aura_of_purity/,Аура очищения [Aura of purity],4 уровень,ограждение,1 действие,На себя 30-футов радиус,В,"Концентрация, вплоть до 10 минут","жрец (Tasha's Cauldron of Everything), паладин","боевой кузнец (изобретатель), домен мира (жрец), клятва смотрителей (паладин)",«Player's handbook»,"От вас исходит очищающая аура с радиусом 30 футов. Пока заклинание активно, аура перемещается вместе с вами, оставаясь с центром на вас. Все невраждебные существа в ауре (включая вас) не могут заболеть, имеют сопротивление урону ядом и совершают с преимуществом спасброски от эффектов, вызывающих следующие состояния:глухота,испуг,ослепление,отравление,очарование,ошеломлениеипаралич."
/spells/6-holy_aura/,Аура святости [Holy aura],8 уровень,ограждение,1 действие,На себя,"В, С, М  (крошечный контейнер, стоящий как минимум 1 000 зм, хранящий священную реликвию, такую как лоскут ткани с мантии святого или кусочек пергамента с религиозным текстом)","Концентрация, вплоть до 1 минуты",жрец,,«Player's handbook»,"Божественный свет исходит от вас мягким сиянием в радиусе 30 футов. Пока заклинание активно, существа в этом радиусе, выбранные вами при накладывании этого заклинания, испускаюттусклый светв радиусе 5 футов и совершают все спасброски с преимуществом, а остальные существа совершают с помехой броски атаки по ним. Кроме того, если исчадие или нежить попадает по такому существу рукопашной атакой, аура вспыхивает ярким светом. Атакующий должен преуспеть в спасброске Телосложения, иначе станетослеплённым, пока не окончится это заклинание."
/spells/3849-galder_s_tower/,Башня Галдера [Galder’s Tower],3 уровень,вызов,10 минут,30 футов,"В, С, М  (кусочек камня, дерева или иного строительного материала)",24 часа,волшебник,,«Lost Laboratory of Kwalish»,"Вы создаете двухэтажную башню из камня, дерева или подобных прочных материалов. По форме башня может быть круглой или квадратной. Каждый этаж башни имеет высоту 10 футов и площадь до 100 квадратных футов. Перемещаться между этажами можно по простой лестнице через люки. Каждый этаж принимает одну из следующих форм, выбранных вами при произнесении заклинания:спальня с кроватью, стульями, сундуком и волшебным камином;кабинет с письменными столами, книгами, книжными полками, пергаментами, тушью и чернильными ручками;обеденная зона со столом, стульями, волшебным камином, посудой и кухонными принадлежностями;гостиная с диванами, креслами, тумбочками и скамейками для ног;санузел с туалетами, умывальниками, волшебной жаровней и скамейками для сауны;обсерватория с телескопом и картами ночного неба;пустая комната без мебели.Внутри башни тепло и сухо независимо от внешних условий. Любое оборудование или предметы интерьера, созданные с башней, превращаются в дым, если их вынести из неё. По окончании действия заклинания все существа и объекты в башне, которые не были созданы заклинанием, безопасно появляются на земле, и все следы башни и ее обстановки исчезают.Вы можете наложить это заклинание еще раз, пока оно активно, чтобы башня просуществовала еще 24 часа. Вы можете создать постоянную башню, накладывая это заклинание в одном и том же месте и с одинаковой конфигурацией каждый день в течение одного года.На больших уровнях. Если вы накладываете это заклинание, используя ячейку 4-го уровня или выше, у башни появляется один дополнительный этаж за каждый уровень ячейки выше третьего."
/spells/7-silent_image/,Безмолвный образ [Silent image],1 уровень,иллюзия,1 действие,60 футов,"В, С, М  (кусок овечьей шерсти)","Концентрация, вплоть до 10 минут","бард, волшебник, чародей",,«Player's handbook»,"Вы создаёте образ предмета, существа или другого видимого явления, помещающийся в объеме в куб с длиной ребра 15 футов. Образ появляется в точке, которую вы видите в пределах дистанции, и существует, пока активно заклинание. Это исключительно зрительная иллюзия, не сопровождаемая звуками, запахами и прочими сенсорными эффектами.Вы можете действием заставить образ переместиться в любое место в пределах дистанции. Пока образ меняет местоположение, вы можете изменять его внешность, чтобы перемещение выглядело естественным. Например, если вы создаете образ существа и перемещаете его, вы можете изменить образ, чтобы казалось, что оно идет.Физическое взаимодействие с образом даёт понять, что это иллюзия, потому что сквозь него всё проходит. Существа, исследующие образ действием, могут определить, что это иллюзия, совершив успешную проверку Интеллекта (Расследование) против Сл ваших заклинаний. Если существо распознает иллюзию, оно может видеть сквозь неё."
/spells/8-pass_without_trace/,Бесследное передвижение [Pass without trace],2 уровень,ограждение,1 действие,На себя,"В, С, М  (пепел от сожжённого листа омелы и еловая ветка)","Концентрация, вплоть до 1 часа","друид, следопыт","домен обмана (жрец), круг земли (друид), путь тени (монах)",«Player's handbook»,"От вас начинает исходить покров теней и тишины, скрывающий вас и ваших спутников от обнаружения. Пока заклинание активно, все существа, выбранные вами в пределах 30 футов (включая вас) получают бонус +10 к проверкам Ловкости (Скрытность), и их нельзя выследить без помощи магии. Существо, получившее этот бонус, не оставляет за собой следов."
/spells/9-bless/,Благословение [Bless],1 уровень,очарование,1 действие,30 футов,"В, С, М  (капля святой воды)","Концентрация, вплоть до 1 минуты","жрец, паладин","божественная душа (чародей), домен жизни (жрец)",«Player's handbook»,"Вы благословляете до трёх существ на свой выбор в пределах дистанции. Каждый раз, когда до окончания заклинания цель совершает бросок атаки или спасбросок, она может бросить к4 и добавить выпавшее число к результату.На больших уровнях. Если вы накладываете это заклинание, используя ячейку 2-го уровня или выше, вы можете сделать целью одно дополнительное существо за каждый уровень ячейки выше первого."
